IR,RED
65396.0,68791.0
65423.0,68788.0
65421.0,68818.0
65387.0,68793.0
65431.0,68751.0
65395.0,68764.0
65406.0,68795.0
65373.0,68792.0
65380.0,68746.0
65396.0,68791.0
65423.0,68788.0
65421.0,68818.0
65387.0,68793.0
65431.0,68751.0
65395.0,68764.0
65406.0,68795.0
65373.0,68792.0
65380.0,68746.0
65380.0,68746.0
65782.0,69018.0
65340.0,68607.0
65304.0,68627.0
65318.0,68650.0
65335.0,68628.0
65333.0,68618.0
65341.0,68627.0
65341.0,68663.0
65339.0,68655.0
65331.0,68634.0
65330.0,68636.0
65350.0,68613.0
65356.0,68656.0
65340.0,68661.0
65346.0,68663.0
65317.0,68655.0
65321.0,68668.0
65350.0,68631.0
65369.0,68634.0
65361.0,68667.0
65340.0,68683.0
65333.0,68662.0
65334.0,68657.0
65317.0,68678.0
65353.0,68648.0
65373.0,68658.0
65350.0,68673.0
65367.0,68675.0
65361.0,68695.0
65329.0,68657.0
65340.0,68670.0
65382.0,68655.0
65363.0,68641.0
65368.0,68656.0
65342.0,68687.0
65339.0,68674.0
65347.0,68659.0
65383.0,68671.0
65358.0,68650.0
65362.0,68688.0
65362.0,68680.0
65327.0,68649.0
65336.0,68653.0
65380.0,68619.0
65359.0,68676.0
65323.0,68667.0
65340.0,68646.0
65320.0,68667.0
65353.0,68620.0
65360.0,68619.0
65326.0,68687.0
65346.0,68669.0
65309.0,68663.0
65323.0,68628.0
65379.0,68629.0
65350.0,68624.0
65356.0,68662.0
65336.0,68664.0
65327.0,68627.0
65341.0,68624.0
65325.0,68628.0
65346.0,68670.0
65322.0,68681.0
65336.0,68656.0
65312.0,68630.0
65336.0,68644.0
65346.0,68612.0
65353.0,68607.0
65330.0,68657.0
65338.0,68658.0
65330.0,68647.0
65307.0,68631.0
65317.0,68617.0
65333.0,68629.0
65336.0,68616.0
65342.0,68636.0
65330.0,68664.0
65320.0,68642.0
65310.0,68652.0
65325.0,68639.0
65327.0,68627.0
65349.0,68629.0
65339.0,68655.0
65338.0,68658.0
65334.0,68650.0
65321.0,68647.0
65327.0,68633.0
65352.0,68623.0
65362.0,68634.0
65334.0,68647.0
65326.0,68658.0
65329.0,68649.0
65361.0,68626.0
65342.0,68680.0
65352.0,68684.0
65320.0,68668.0
65327.0,68653.0
65341.0,68645.0
65386.0,68638.0
65370.0,68644.0
65357.0,68705.0
65356.0,68680.0
65330.0,68687.0
65333.0,68684.0
65364.0,68669.0
65381.0,68665.0
65354.0,68713.0
65358.0,68703.0
65357.0,68696.0
65330.0,68695.0
65352.0,68683.0
65375.0,68667.0
65362.0,68707.0
65348.0,68725.0
65366.0,68712.0
65351.0,68727.0
65365.0,68699.0
65402.0,68704.0
65363.0,68717.0
65368.0,68737.0
65365.0,68758.0
65361.0,68739.0
65366.0,68719.0
65390.0,68723.0
65391.0,68724.0
65381.0,68758.0
65369.0,68766.0
65352.0,68752.0
65354.0,68746.0
65373.0,68732.0
65382.0,68727.0
65408.0,68720.0
65381.0,68784.0
65392.0,68769.0
65381.0,68777.0
65372.0,68766.0
65382.0,68773.0
65368.0,68766.0
65408.0,68774.0
65411.0,68759.0
65403.0,68753.0
65403.0,68793.0
65378.0,68800.0
65399.0,68788.0
65388.0,68756.0
65435.0,68743.0
65392.0,68756.0
65420.0,68801.0
65381.0,68802.0
65362.0,68791.0
65402.0,68789.0
65418.0,68737.0
65406.0,68770.0
65405.0,68821.0
65391.0,68790.0
65376.0,68775.0
65409.0,68785.0
65410.0,68781.0
65409.0,68805.0
65411.0,68799.0
65386.0,68777.0
65384.0,68791.0
65398.0,68767.0
65419.0,68768.0
65407.0,68799.0
65416.0,68836.0
65408.0,68801.0
65379.0,68805.0
65379.0,68794.0
65394.0,68781.0
65424.0,68762.0
65411.0,68799.0
65408.0,68861.0
65395.0,68817.0
65395.0,68804.0
65403.0,68802.0
65413.0,68782.0
65396.0,68824.0
65392.0,68830.0
65404.0,68833.0
65396.0,68819.0
65409.0,68817.0
65412.0,68823.0
65439.0,68856.0
65408.0,68843.0
65409.0,68866.0
65418.0,68856.0
65417.0,68855.0
65428.0,68817.0
65424.0,68865.0
65428.0,68852.0
65410.0,68870.0
65417.0,68832.0
65400.0,68861.0
65407.0,68849.0
65458.0,68818.0
65439.0,68845.0
65437.0,68866.0
65444.0,68875.0
65409.0,68853.0
65411.0,68856.0
65405.0,68851.0
65425.0,68837.0
65434.0,68823.0
65427.0,68830.0
65427.0,68871.0
65403.0,68871.0
65434.0,68866.0
65397.0,68853.0
65443.0,68850.0
65451.0,68871.0
65436.0,68892.0
65413.0,68854.0
65421.0,68874.0
65441.0,68871.0
65446.0,68853.0
65428.0,68847.0
65439.0,68887.0
65430.0,68883.0
65418.0,68884.0
65457.0,68864.0
65434.0,68872.0
65433.0,68883.0
65432.0,68924.0
65433.0,68887.0
65410.0,68885.0
65431.0,68860.0
65453.0,68870.0
65452.0,68915.0
65443.0,68909.0
65425.0,68897.0
65410.0,68894.0
65462.0,68864.0
65430.0,68909.0
65418.0,68899.0
65414.0,68897.0
65434.0,68899.0
65480.0,68861.0
65440.0,68896.0
65438.0,68934.0
65425.0,68879.0
65436.0,68912.0
65457.0,68904.0
65471.0,68869.0
65459.0,68916.0
65451.0,68913.0
65420.0,68899.0
65429.0,68880.0
65438.0,68868.0
65456.0,68846.0
65432.0,68877.0
65423.0,68905.0
65433.0,68888.0
65408.0,68856.0
65418.0,68856.0
65458.0,68821.0
65418.0,68825.0
65392.0,68843.0
65406.0,68853.0
65398.0,68855.0
65372.0,68795.0
65414.0,68818.0
65445.0,68784.0
65404.0,68770.0
65390.0,68800.0
65374.0,68765.0
65366.0,68775.0
65378.0,68753.0
65383.0,68737.0
65377.0,68750.0
65377.0,68766.0
65359.0,68748.0
65337.0,68697.0
65349.0,68696.0
65358.0,68687.0
65348.0,68688.0
65351.0,68697.0
65324.0,68701.0
65337.0,68697.0
65343.0,68652.0
65351.0,68639.0
65342.0,68690.0
65313.0,68671.0
65331.0,68633.0
65330.0,68633.0
65320.0,68628.0
65327.0,68673.0
65305.0,68643.0
65314.0,68658.0
65300.0,68624.0
65357.0,68599.0
65330.0,68607.0
65335.0,68624.0
65290.0,68628.0
65319.0,68614.0
65321.0,68602.0
65335.0,68590.0
65312.0,68591.0
65312.0,68636.0
65308.0,68605.0
65288.0,68602.0
65325.0,68579.0
65341.0,68565.0
65324.0,68559.0
65316.0,68600.0
65313.0,68599.0
65305.0,68595.0
65336.0,68572.0
65313.0,68584.0
65328.0,68602.0
65284.0,68587.0
65288.0,68574.0
65306.0,68564.0
65332.0,68554.0
65317.0,68583.0
65298.0,68585.0
65304.0,68595.0
65321.0,68566.0
65326.0,68588.0
65296.0,68608.0
65304.0,68561.0
65294.0,68589.0
65325.0,68570.0
65351.0,68554.0
65323.0,68572.0
65303.0,68602.0
65292.0,68567.0
65290.0,68573.0
65334.0,68562.0
65331.0,68598.0
65310.0,68621.0
65312.0,68585.0
65327.0,68586.0
65351.0,68577.0
65350.0,68586.0
65322.0,68632.0
65310.0,68610.0
65339.0,68604.0
65328.0,68598.0
65347.0,68599.0
65339.0,68622.0
65342.0,68650.0
65303.0,68635.0
65327.0,68601.0
65369.0,68606.0
65344.0,68635.0
65336.0,68635.0
65325.0,68631.0
65330.0,68625.0
65317.0,68627.0
65353.0,68592.0
65354.0,68595.0
65330.0,68650.0
65325.0,68638.0
65322.0,68634.0
65310.0,68639.0
65374.0,68610.0
65355.0,68628.0
65360.0,68673.0
65094.0,68647.0
65124.0,68626.0
65170.0,68617.0
65149.0,68623.0
65143.0,68696.0
65136.0,68677.0
65114.0,68648.0
65116.0,68663.0
65137.0,68646.0
65138.0,68667.0
65171.0,68644.0
65161.0,68665.0
65151.0,68660.0
65147.0,68705.0
65123.0,68677.0
65136.0,68660.0
65161.0,68672.0
65145.0,68659.0
65169.0,68692.0
65152.0,68690.0
65136.0,68685.0
65139.0,68658.0
65167.0,68682.0
65184.0,68672.0
65129.0,68695.0
65163.0,68739.0
65151.0,68711.0
65138.0,68704.0
65119.0,68701.0
65165.0,68670.0
65175.0,68697.0
65153.0,68677.0
65160.0,68680.0
65161.0,68691.0
65146.0,68732.0
65147.0,68718.0
65139.0,68697.0
65132.0,68688.0
65192.0,68673.0
65160.0,68691.0
65170.0,68698.0
65150.0,68747.0
65147.0,68724.0
65154.0,68720.0
65124.0,68718.0
65182.0,68697.0
65173.0,68694.0
65164.0,68738.0
65162.0,68743.0
65151.0,68744.0
65156.0,68730.0
65148.0,68716.0
65187.0,68703.0
65166.0,68739.0
65170.0,68761.0
65162.0,68760.0
65165.0,68737.0
65156.0,68737.0
65176.0,68721.0
65189.0,68730.0
65160.0,68708.0
65181.0,68752.0
65155.0,68770.0
65156.0,68734.0
65151.0,68707.0
65137.0,68729.0
65150.0,68692.0
65168.0,68683.0
65148.0,68677.0
65152.0,68697.0
65136.0,68697.0
65146.0,68696.0
